,filename,para_text,k_means_labels,topics
0,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL.docx,ABSOLUTE SALE DEED  SITE NO: 23,4,
1,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL.docx,"This Deed of Sale of the Scheduled property is made on this 20th day of September, Two Thousand and Twenty One (20/09/2021) by ---",2,DATE
2,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL.docx,"Sri. SHIVSHANKAR GANGADHAR DUDHALE ALIAS SHIVSHANKAR DUDHALE, S/o.Sri.Gangadhar Dudhale, (PAN No.AISPD6976G, AADHAAR No. 3494 9796 2818) aged about 54 years, residing at No. 44/A/404, “Ameesh CHS”, Near Tilak Nagar Police Station, Chemburu, Tilak Nagar, Mumbai-400089 Hereinafter called as the VENDOR.",0,SELLER DETAILS
3,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL.docx,AND,5,
4,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL.docx,"Smt. SHWETHA G.M, D/o. Madan Kumar, (PAN No.BJMPM1731J, AADHAAR No.2002 1672 3978) aged about 33 years, residing at No. #2891,4th A Main, F Block, Kanakadasa Nagara, Mysore 570022. Hereinafter called the PURCHASER.",0,PURCHASER DETAILS
5,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL.docx,"WHEREAS, M/s.Janani Developers and Builders represented by its Partners Sri.B.K.Bharath Kumar Jain, Sri.Dilip Jain, Sri. Deepak Kumar.B, Sri.Jeethendra Kumar Ranka, Sri.M. Gouthamchand and Sri.Shivshankar Gangadhar Dudhale, alias Shivshankar Dudhale, the VENDOR herein acquired alienated land bearing survey no.65/1 measuring 2 Acres 20 Guntas and survey no.65/2 measuring 1 Acre 22 Guntas totally measuring 4 Acres 2 Guntas, situated at Kergalli Village, Jayapura Hobli, Mysuru Taluk which is more fully described in the schedule part from ENSO Realtors Private Limited represented by its Director Sri.Surendra Das under registered sale deed dated 13-02-2017 and the said sale deed has been registered in Office of the Sub-registrar Mysuru West, Mysuru as document No. MYW-1-09143-2016-17 of Book I stored at CD No. MYWD 79 dated 13-02-2017.",4,
6,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL.docx,"WHEREAS, the Vendor along with M/s. Janani Developers and Builders represented by its Partners Sri.B.K.Bharath Kumar Jain, Sri.Dilip Jain, Sri. Deepak Kumar.B, Sri.Jeethendra Kumar Ranka, Sri.M. Gouthamch and have obtained sanction for approval of layout plan in the meeting held by MUDA on 20.11.2018 under resolution No. MY.NA.PRA.SABHE: 02/2018-19 at subject No. 95 dated 24-11-2018. That being the owner in possession of the aforesaid land a Registered Partition Deed dated 29-08-2019 by and between M/s.Janani Developers and Builders represented by its Partners Sri.B.K.Bharath Kumar Jain, Sri.Dilip Jain, Sri.Deepak Kumar.B, Sri.Jeethendra Kumar Ranka, Sri.M. Gouthamchand and Sri Shivshankar Gangadhar Dudhale alias Shivshankar Dudhale and the same have been duly registered as document No. MYW-1-05548-2019-20 of Book-1 stored at C.D.No. MYWD 284 registered in the office of the Sub Registrar, Mysuru West, Mysuru. That in the said Partition Deed the alienated land bearing survey no.65/1 measuring 2 Acres 20 Guntas and survey no.65/2 measuring 1 Acre 22 Guntas totally measuring 4 Acres 2 Guntas, situated at Kergalli Village, Jayapura Hobli, Mysuru Taluk has been allotted to the share of Sri Shivshankar Gangadhar Dudhale Alias Shivshankar Dudhale and the said VENDOR Sri Shivshankar Gangadhar Dudhale alias Shivshankar Dhudale become the absolute owner of the schedule property.",4,
7,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL.docx,"WHEREAS, Sri.Shivshankar Gangadhar Dudhale alias Shivshankar Dudhale relinquished his right over the space left for road, park and other common amenities in favor of Governor, Government of Karnataka represented by Commissioner, MUDA, Mysuru by executing relinquishment deed, which is registered before Additional District Registrar, MUDA, Mysuru and registered as document no. MDA-1-00870-2019-20 of Book I stored at C.D.no.MDAD-226 dated 03-10-2019. Sri.Shivshankar Gangadhar Dudhale alias Shivshankar Dhudale obtained approved layout plan by the Town Planning Authority of MUDA, Mysuru vide order no. MY.NA.PRA/NA.YO/V.NA/30/2021-22 dated 09-09-2021 for formation of the residential sites on the above land and the MUDA Authorities have also released sites vide its letters bearing No. MY.NA.PRA/NA.YO/V.NA/30/2021-22 dated 09-09-2021 and issued Correct Dimension Report on 09-09-2021. The schedule property is one such site released by MUDA authorities. And the khata of the schedule property bearing Site No. 23 registered in favour of the vendor Sri. Shivashankar Gangadhar Dudhale by Mysore Urban Development Authority on 13-09-2021 vide No. ªÉÄÊ.£À.¥Áæ/SÁvÁ-42088/21-22 and paid tax to the concerned authorities and the vendor paid upto date site tax to the concerned authorities.",0,"RELINQUISHMET, PLAN APPROVAL AND RELEASE OF SITES"
8,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL.docx,Whereas both parties have broadly negotiated the terms and conditions of this sale transaction and both parties desire to reduce their terms of understanding in this regard into writing and hence this deed to sell.,2,AGREEMENT
9,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL.docx,NOW THEREFORE THIS MEMORANDUM OF UNDERSTANDING WITNESSETH AS UNDER:,0,MEMORANDUM
10,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL.docx,"1. The Vendor has offered to sell the Schedule Property to the Purchaser and the purchaser has accepted the said offer and has agreed and come forward to purchase the Schedule Property, free from encumbrances of whatsoever nature subject to terms and conditions hereinafter appearing.",6,
12,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL.docx,"a. The Purchaser has paid a advance of Sale Consideration of Rs. 2,90,000 (Rupees Two lakh ninty thousand only) by way of Cheque bearing No. 555181 dated 4-11-2019 drawn on SBI Bank ,Dattagalli Branch, Mysore the Vendor acknowledges receipt of the advance of sale consideration as mentioned above.",1,ADVANCE AMOUNT CONSIDERATION
13,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -MEGHANA.docx,"a. The Purchaser has paid a advance of Sale Consideration of Rs. 5,00000 (Rupees Five Lakh only) by way of Cheque bearing No. 575521 dated 08-07-2020 drawn on Karnataka Bank Ltd, V.V. Mohalla Branch, Mysore the Vendor acknowledges receipt of the advance of sale consideration as mentioned above.",1,ADVANCE AMOUNT CONSIDERATION
14,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -MEGHANA.docx,"b. The Purchaser has paid a advance of Sale Consideration of Rs. 1,56,250/- (Rupees One Lakh Fifty Six Thousand Two Hundred Fifty Rupees Only) by way of Cheque bearing No. 575522 dated 08-07-2020 drawn on Karnataka Bank Ltd, V.V. Mohalla Branch, Mysore the Vendor acknowledges receipt of the advance of sale consideration as mentioned above.",1,ADVANCE AMOUNT CONSIDERATION
13,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-5.docx,"a. The Purchaser has paid a advance of Sale Consideration of Rs. 4,00,000/- (Rupees Four lakh only) by way of RTGS UTR No.ICICR12019111300495511 dated 13-11-2019 drawn on ICICI Bank, Indira Nagar Branch, Bengaluru-560038 the Vendor acknowledges receipt of the advance of sale consideration as mentioned above.",1,ADVANCE AMOUNT CONSIDERATION
15,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL.docx,"4. The Vendor has today delivered vacant peaceful possession of the Schedule Property, free from any kind of encumbrances to the Purchaser herein.",6,
16,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL.docx,"5. The Vendor represents and assures the Purchaser that he has a clear, valid, subsisting, marketable, enforceable title in relation to the schedule property and that there is no legal impediment of whatsoever nature, for absolute sale of the Schedule Property in favour of the Purchaser herein. The Vendor has absolute right and power of alienation and disposal over the Schedule Property.",6,
